,Host,Dokumente,Land,Date
1857,Univ. of Sussex: Sussex Research Online,22262,uk,2007-07-31
1858,Muhammadiyah Univ. of Surakarta: UMS ePrints Archive,1435,id,2007-07-31
1859,Hrčak - Portal znanstvenih časopisa Republike Hrvatske,63515,hr,2007-07-31
1860,The Abdus Salam International Centre for Theoretical Physics (ICTP): ICTP Open Access Archive for e-Prints,199,it,2007-06-29
1861,SICD (Service Interétablissements de Coopération Documentaire) Univ. of Strasbourg: Digital old books,832,fr,2007-06-29
1862,Luleå Tekniska Universitet: Publikationsdatabasen,19045,se,2007-06-29
1863,Indiana Univ. Digital Library Program (DLP),27340,us,2007-06-29
1864,HighWire Press (Host: Stanford Univ.),1414504,us,2007-06-28
1865,Fraunhofer-Gesellschaft: Fraunhofer-ePrints,7733,de,2007-06-28
1866,"Zentrum für Allgemeine Sprachwissenschaft (ZAS), Berlin: ZASPIL - ZAS Papers in Linguistics",322,de,2007-06-27
1867,"Universität zu Köln, Lehrstuhl für Wirtschaftsinformatik: Schriftenreihe Systementwicklung",18,de,2007-06-27
1868,Justus-Liebig-Univ. Giessen: Giessener Papyri- und Ostrakadatenbank,3458,de,2007-06-27
1869,Informatik an der Universität Stuttgart: Veröffentlichungen,3625,de,2007-06-27
1870,"Bryn Mawr, Haverford, and Swarthmore College: Triptych (tri-college digital library)",97479,us,2007-06-27
1871,ELPUB (ELectronic PUBlishing) Digital Library (Host: SciX - Scientific Information Exchange),500,si,2007-06-26
1872,Digitale Bibliothek Thüringen,7178,de,2007-06-26
1873,Università degli studi di Torino: AperTo (Archivio Istituzionale ad Accesso Aperto),507,it,2007-06-19
1874,Österreichische Akademie der Wissenschaften: epub.oeaw,38337,at,2007-06-18
1875,"Vanderbilt University, Nashville: ETD - Electronic Theses and Dissertations",1827,us,2007-06-18
1876,Universitat de Vic (UVIC): Tesis Doctorals en Xarxa (TDX),7,es,2007-06-18
1877,Universidad de Oviedo: Tesis Doctorals en Xarxa (TDX),81,es,2007-06-18
1878,"Univ. of Canterbury, Christchurch: UC Research Repository",6357,nz,2007-06-18
1879,Univ. degli Studi Padova: PaDUA@research (Padova Digital Univ. Archive),2298,it,2007-06-18
1880,TU Chemnitz: MONARCH,2394,de,2007-06-18
1881,Heinrich-Heine-Univ. Düsseldorf: Düsseldorfer Dokumenten- und Publikationsservice,7698,de,2007-06-05
1882,UBR (Univ. of Brighton Repository),928,uk,2007-06-01
1883,"Northeastern Univ., Boston: IRis (NU Institutional Repository)",4201,us,2007-06-01
1884,"etd@IIsc (Electronic Theses and Disserations of Indian Instiute of Science, Bangalore)",1692,in,2007-06-01
1885,Eberhard Karls Univ. Tübingen: Online-Publikationsservice TOBIAS-lib,5449,de,2007-06-01
1886,Biblioteka Cyfrowa Politechniki Warszawskiej / Warsaw Univ. of Technology Digital Library,3187,pl,2007-06-01
1887,DSpace at Tartu Univ. Library,23709,ee,2007-05-30
1888,British History Online (University of London / History of Parliament Trust),551,uk,2007-05-30
1889,Univ. of the Western Cape: AHERO (African Higher Education Research Online),190,za,2007-05-08
1890,Kansas State Univ.: K-State Research Exchange (K-REx),13333,us,2007-05-08
1891,"BIUM (Bibliothèque interuniversitaire de médicine, Paris)",8072,fr,2007-05-03
1892,Amsterdam Univ. Press,1897,nl,2007-05-02
1893,Wageningen UR (University & Research Centre): Digital Library,171426,nl,2007-04-27
1894,Univ. of Zurich: ZORA - Zurich Open Repository and Archive,42838,ch,2007-04-27
1895,e-Publikationen: Hochschulschriftenserver der RWTH Aachen,3524,de,2007-04-27
1896,Universität Heidelberg: HeiDok (Heidelberger Dokumentenserver),12183,de,2007-04-23
1897,Universität Konstanz: Konstanzer Online-Publikations-System (KOPS),11859,de,2007-04-16
1898,Purdue University: e-Archives,44818,us,2007-04-16
1899,"Qucosa (Quality Content of Saxony) (Host: Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden, SLUB)",8572,de,2007-04-02
1900,DoKS @ Katholieke Hogeschool Brugge Oostende (KHBO),627,be,2007-04-02
1901,OPUS W - Elektronische Hochschulschriften der PH Weingarten und der Hochschule Ravensburg-Weingarten,56,de,2007-03-22
1902,"Online-Publikationen der Hochschule Konstanz Technik, Wirtschaft und Gestaltung (HTWG)",106,de,2007-03-22
1903,Hochschule der Medien Stuttgart: Publikationsserver der Hochschule der Medien (HdM ePub),645,de,2007-03-22
1904,SWOP - Südwestdeutscher Online-Publikationsserver (BSZ - Bibliotheksservice Zentrum Baden-Württemberg Konstanz),861,de,2007-03-21
1905,Universität Stuttgart: Hochschulschriftenserver (OPUS),6880,de,2007-03-14
1906,Universität Bielefeld: BieColl - Bielefeld eCollections,567,de,2007-03-14
1907,MADOC: Mannheim Electronic DOCument Server der Univ. Mannheim,7952,de,2007-03-14
1908,Albert-Ludwigs-Universität Freiburg: FreiDok (Freiburger Dokumentenserver),7525,de,2007-03-14
